datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-06 10:00:00,long,buy,98979.1,0.0,999.95,-0.01,-0.01
2025-01-07 08:00:00,long,sell - direction change,0.0,101646.2,1026.84,2.69,2.68
2025-01-07 08:00:00,short,sell,0.0,101646.2,1026.79,-0.01,2.68
2025-01-07 17:48:00,short,buy - take_profit,96563.89,0.0,1078.08,4.99,7.67
2025-01-08 12:00:00,long,buy,95101.8,0.0,1078.02,-0.01,7.67
2025-01-09 13:37:00,long,sell - stop_loss,0.0,92248.746,1045.63,-3.01,4.66
2025-01-09 20:00:00,long,buy,91859.5,0.0,1045.58,-0.01,4.66
2025-01-13 14:35:00,long,sell - stop_loss,0.0,89103.715,1014.16,-3.01,1.65
2025-01-13 16:00:00,long,buy,92081.1,0.0,1014.11,-0.01,1.65
2025-01-14 09:37:00,long,sell - take_profit,0.0,96685.15500000001,1064.76,5.0,6.64
2025-01-15 12:00:00,long,buy,96722.3,0.0,1064.71,-0.01,6.64
2025-01-17 01:41:00,long,sell - take_profit,0.0,101558.41500000001,1117.89,5.0,11.63
2025-01-17 04:00:00,long,buy,101016.1,0.0,1117.83,-0.01,11.63
2025-01-19 19:58:00,long,sell - take_profit,0.0,106066.90500000001,1173.67,5.0,16.62
2025-01-19 22:00:00,long,buy,103680.0,0.0,1173.61,-0.01,16.62
2025-01-19 23:19:00,long,sell - stop_loss,0.0,100569.59999999999,1138.34,-3.01,13.61
2025-01-20 00:00:00,long,buy,101310.7,0.0,1138.28,-0.01,13.61
2025-01-20 06:49:00,long,sell - take_profit,0.0,106376.235,1195.14,5.0,18.6
2025-01-20 12:00:00,short,sell,0.0,108271.9,1195.08,-0.01,18.6
2025-01-20 17:06:00,short,buy - take_profit,102858.305,0.0,1254.77,5.0,23.59
2025-01-21 04:00:00,long,buy,102915.8,0.0,1254.71,-0.01,23.59
2025-01-23 14:00:00,long,sell - direction change,0.0,102475.0,1249.27,-0.43,23.16
2025-01-23 14:00:00,short,sell,0.0,102475.0,1249.21,-0.01,23.15
2025-01-23 14:48:00,short,buy - stop_loss,105549.25,0.0,1211.67,-3.0,20.15
2025-01-23 16:00:00,short,sell,0.0,105235.5,1211.61,-0.01,20.14
2025-01-23 22:00:00,short,buy - direction change,103006.9,0.0,1237.21,2.11,22.25
2025-01-23 22:00:00,long,buy,103006.9,0.0,1237.15,-0.01,22.25
2025-01-27 00:00:00,long,sell - direction change,0.0,102553.7,1231.64,-0.44,21.8
2025-01-27 00:00:00,short,sell,0.0,102553.7,1231.58,-0.01,21.8
2025-01-27 06:00:00,short,buy - direction change,100319.3,0.0,1258.35,2.17,23.97
2025-01-27 06:00:00,long,buy,100319.3,0.0,1258.29,-0.01,23.97
