datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-06 08:00:00,long,buy,99275.0,0.0,999.95,-0.01,-0.01
2025-01-07 10:00:00,long,sell - direction change,0.0,101667.1,1023.99,2.4,2.4
2025-01-07 10:00:00,short,sell,0.0,101667.1,1023.94,-0.01,2.39
2025-01-07 17:48:00,short,buy - take_profit,96583.745,0.0,1075.09,5.0,7.39
2025-01-08 16:00:00,long,buy,95455.3,0.0,1075.03,-0.01,7.38
2025-01-08 17:31:00,long,sell - stop_loss,0.0,92591.641,1042.73,-3.0,4.38
2025-01-09 18:00:00,long,buy,92635.6,0.0,1042.68,-0.01,4.37
2025-01-13 14:34:00,long,sell - stop_loss,0.0,89856.532,1011.35,-3.0,1.37
2025-01-13 16:00:00,long,buy,92081.1,0.0,1011.3,-0.01,1.36
2025-01-14 09:37:00,long,sell - take_profit,0.0,96685.15500000001,1061.81,5.0,6.36
2025-01-15 12:00:00,long,buy,96722.3,0.0,1061.75,-0.01,6.35
2025-01-17 01:41:00,long,sell - take_profit,0.0,101558.41500000001,1114.79,5.0,11.35
2025-01-17 02:00:00,short,sell,0.0,101644.6,1114.73,-0.01,11.34
2025-01-17 04:00:00,short,buy - direction change,101016.1,0.0,1121.57,0.61,11.96
2025-01-17 04:00:00,long,buy,101016.1,0.0,1121.51,-0.01,11.95
2025-01-19 19:58:00,long,sell - take_profit,0.0,106066.90500000001,1177.53,5.0,16.95
2025-01-19 22:00:00,long,buy,103680.0,0.0,1177.47,-0.01,16.94
2025-01-19 23:19:00,long,sell - stop_loss,0.0,100569.59999999999,1142.09,-3.01,13.94
2025-01-20 00:00:00,long,buy,101310.7,0.0,1142.03,-0.01,13.93
2025-01-20 06:49:00,long,sell - take_profit,0.0,106376.235,1199.07,5.0,18.93
2025-01-20 12:00:00,short,sell,0.0,108271.9,1199.01,-0.01,18.92
2025-01-20 17:06:00,short,buy - take_profit,102858.305,0.0,1258.9,5.0,23.92
2025-01-21 04:00:00,long,buy,102915.8,0.0,1258.84,-0.01,23.91
2025-01-23 14:00:00,long,sell - direction change,0.0,102475.0,1253.38,-0.43,23.48
2025-01-23 14:00:00,short,sell,0.0,102475.0,1253.32,-0.01,23.47
2025-01-23 14:48:00,short,buy - stop_loss,105549.25,0.0,1215.66,-3.0,20.47
2025-01-23 16:00:00,short,sell,0.0,105235.5,1215.6,-0.01,20.46
2025-01-27 02:00:00,short,buy - direction change,101235.3,0.0,1261.74,3.8,24.26
2025-01-27 02:00:00,long,buy,101235.3,0.0,1261.68,-0.01,24.26
2025-01-27 07:20:00,long,sell - stop_loss,0.0,98198.241,1223.77,-3.01,21.25
2025-01-27 08:00:00,long,buy,98986.3,0.0,1223.71,-0.01,21.25
2025-01-29 19:40:00,long,sell - take_profit,0.0,103935.615,1284.83,5.0,26.24
2025-02-01 20:00:00,short,sell,0.0,101622.6,1284.76,-0.01,26.24
2025-02-01 22:00:00,short,buy - direction change,101136.2,0.0,1290.85,0.47,26.71
2025-02-01 22:00:00,long,buy,101136.2,0.0,1290.78,-0.01,26.7
2025-02-02 12:59:00,long,sell - stop_loss,0.0,98102.114,1252.0,-3.0,23.7
2025-02-02 18:00:00,short,sell,0.0,97201.6,1251.93,-0.01,23.69
2025-02-03 00:00:00,short,buy - direction change,97645.7,0.0,1246.15,-0.46,23.23
2025-02-03 00:00:00,long,buy,97645.7,0.0,1246.09,-0.01,23.23
2025-02-03 01:36:00,long,sell - stop_loss,0.0,94716.329,1208.65,-3.0,20.22
2025-02-03 02:00:00,long,buy,93387.6,0.0,1208.59,-0.01,20.22
2025-02-03 15:25:00,long,sell - take_profit,0.0,98056.98000000001,1268.95,5.0,25.21
2025-02-03 22:00:00,long,buy,101732.5,0.0,1268.89,-0.01,25.21
2025-02-04 00:00:00,long,sell - direction change,0.0,101294.8,1263.37,-0.44,24.77
2025-02-04 00:00:00,short,sell,0.0,101294.8,1263.3,-0.01,24.77
2025-02-04 14:00:00,short,buy - direction change,98984.2,0.0,1292.06,2.28,27.04
2025-02-04 14:00:00,long,buy,98984.2,0.0,1291.99,-0.01,27.04
2025-02-06 18:30:00,long,sell - stop_loss,0.0,96014.674,1253.17,-3.0,24.03
2025-02-07 12:00:00,short,sell,0.0,97706.0,1253.11,-0.01,24.03
2025-02-11 18:00:00,short,buy - direction change,96115.5,0.0,1273.44,1.62,25.65
2025-02-11 18:00:00,long,buy,96115.5,0.0,1273.38,-0.01,25.65
2025-02-21 14:00:00,long,sell - direction change,0.0,99294.7,1315.43,3.3,28.95
2025-02-21 14:00:00,short,sell,0.0,99294.7,1315.36,-0.01,28.94
2025-02-21 20:00:00,short,buy - direction change,95260.0,0.0,1368.74,4.06,33.0
2025-02-21 20:00:00,long,buy,95260.0,0.0,1368.68,-0.01,33.0
2025-02-24 22:58:00,long,sell - stop_loss,0.0,92402.2,1327.55,-3.01,29.99
2025-02-25 00:00:00,short,sell,0.0,91478.2,1327.48,-0.01,29.99
2025-02-25 10:23:00,short,buy - take_profit,86904.29,0.0,1393.79,5.0,34.98
2025-02-25 12:00:00,short,sell,0.0,89220.0,1393.72,-0.01,34.98
2025-02-25 14:00:00,short,buy - direction change,88815.2,0.0,1399.97,0.45,35.43
2025-02-25 14:00:00,long,buy,88815.2,0.0,1399.9,-0.01,35.42
2025-02-25 15:32:00,long,sell - stop_loss,0.0,86150.74399999999,1357.84,-3.01,32.42
2025-02-26 14:00:00,short,sell,0.0,87194.9,1357.77,-0.01,32.41
2025-02-26 18:00:00,short,buy - direction change,86002.2,0.0,1376.27,1.36,33.77
2025-02-26 18:00:00,long,buy,86002.2,0.0,1376.2,-0.01,33.77
2025-02-26 18:39:00,long,sell - stop_loss,0.0,83422.13399999999,1334.85,-3.01,30.76
2025-02-28 00:00:00,short,sell,0.0,84686.0,1334.78,-0.01,30.76
2025-02-28 02:33:00,short,buy - take_profit,80451.7,0.0,1401.45,5.0,35.75
