sma_window1,sma_window2,ema_window1,ema_window2,macd_fastperiod,macd_slowperiod,macd_signalperiod,adx_window,sar_acceleration,sar_maximum,obv_window,ad_window,adosc_fastperiod,adosc_slowperiod,mfi_window,custom_volume_window,rsi_window,stoch_fastk,stoch_slowk,stoch_slowk_matype,stoch_slowd,stoch_slowd_matype,cci_window,willr_window,mom_window,cmo_window,dx_window,macdext_fast,macdext_fast_matype,macdext_slow,macdext_slow_matype,macdext_signal,macdext_signal_matype,macdfix_window,minus_di_window,minus_dm_window,plus_di_window,plus_dm_window,ppo_fast,ppo_slow,ppo_matype,roc_window,rocp_window,rocr_window,rocr100_window,stochf_fastk,stochf_fastd,stochf_fastd_matype,stochrsi_time,stochrsi_fastk,stochrsi_fastd,stochrsi_fastd_matype,trix_window,ultosc_p1,ultosc_p2,ultosc_p3,atr_window,natr_window,trange_window,bbands_timeperiod,bbands_nbdevup,bbands_nbdevdn,bbands_matype,stddev_window,value
14,64,29,66,9,27,12,20,0.03782780453838904,0.2670596868055038,24,14,7,10,29,16,13,12,2,3,4,2,14,28,15,18,27,10,4,21,2,9,3,10,18,23,23,16,16,44,4,20,20,14,5,8,5,2,20,5,3,1,26,10,18,34,24,17,25,13,1.9342629360896877,2.7261576707679627,3,12,369.71
25,52,36,30,12,32,15,25,0.02826205576364179,0.16775068913959798,29,16,9,30,18,21,9,16,2,2,3,0,17,24,20,12,28,7,2,25,2,7,2,13,23,13,18,24,13,24,3,14,16,20,7,9,4,1,15,4,2,3,24,9,15,30,21,10,17,21,2.2091585620610195,2.0972399268142174,1,17,276.65
31,51,30,78,7,44,13,21,0.049714868521255035,0.2705944644551444,23,9,7,16,11,15,13,13,3,2,2,1,12,30,6,12,30,16,1,29,3,13,1,9,26,17,26,20,7,31,2,17,18,7,6,16,3,0,27,3,3,0,28,9,15,23,17,17,19,16,2.567818878145397,2.430988478635376,2,15,400.37
36,66,36,53,5,37,10,19,0.045262413926639274,0.15993958119875457,27,13,7,26,13,23,9,21,2,1,3,2,20,25,11,20,20,5,1,41,4,6,2,11,22,10,21,27,11,35,4,9,20,7,9,7,5,1,21,5,2,1,28,10,13,28,25,22,20,13,1.7350405220763188,2.343868940529513,3,10,373.37
26,61,30,41,5,44,15,23,0.011418576480102232,0.32505878080325423,25,19,6,11,12,30,11,11,2,2,2,2,17,21,8,10,16,5,2,27,2,5,2,10,24,11,12,21,14,29,4,20,18,5,8,9,4,2,22,5,3,1,25,9,14,28,19,10,20,10,2.1261143869525223,2.1363109532570927,1,13,412.29
24,62,28,40,7,46,14,24,0.024133025428192907,0.2862624303277792,25,18,6,12,10,19,7,10,2,2,2,2,16,21,9,10,14,7,2,23,2,6,2,10,21,12,13,20,13,25,4,20,18,6,8,9,4,2,18,5,3,2,27,8,13,30,20,12,21,12,2.0114317512254343,2.123140581234733,1,12,451.43
23,72,27,46,7,36,14,29,0.024418337565877482,0.26660062532956563,20,17,9,15,10,19,7,9,3,3,2,2,15,21,9,12,10,7,2,23,2,7,3,8,21,15,13,16,12,25,3,18,19,8,6,8,4,2,18,4,3,2,27,8,12,31,22,13,16,12,1.8879624271884978,1.989224849323941,0,12,445.03
18,73,27,40,8,47,12,30,0.024521481229676893,0.2899421775424983,19,17,9,15,13,24,9,9,3,1,2,2,12,12,10,10,10,8,3,23,2,9,3,8,18,15,13,16,12,21,3,18,16,8,10,10,4,2,18,4,3,2,30,8,12,36,16,13,16,12,1.8815159943477155,1.9579954067765213,0,15,330.21
16,84,18,45,7,42,14,28,0.01630303798860311,0.3852485520530544,20,18,9,12,17,16,14,8,3,2,3,2,19,16,5,15,11,7,2,24,1,6,3,8,21,15,13,10,10,25,3,18,19,6,7,8,3,2,13,4,4,3,24,8,10,32,20,16,14,12,1.5672325923448924,1.7490412296980038,0,12,408.93
23,46,29,30,9,46,13,26,0.019347394510915134,0.2618336120935193,29,20,7,17,10,19,7,10,3,3,2,2,15,21,12,12,13,10,2,20,2,9,3,11,20,12,17,16,13,26,3,16,17,8,9,10,4,3,18,3,3,2,16,8,12,31,25,12,13,13,1.9990148838623654,2.0220640937132934,0,16,389.55
23,98,27,58,10,25,11,29,0.024435346669710742,0.18999079567789334,21,18,6,14,14,14,20,10,2,4,3,3,16,22,9,11,14,9,3,28,1,7,4,9,17,17,10,18,8,22,4,19,19,10,6,8,5,2,16,4,4,2,22,8,11,34,22,18,27,11,1.8139355607666015,1.656681671675802,1,21,375.01
15,73,37,38,7,38,14,25,0.029746274172896322,0.25209422802308407,26,16,6,12,12,11,9,8,2,3,2,2,22,18,14,16,15,7,2,26,2,6,3,8,21,14,14,15,16,22,3,18,8,13,12,11,4,1,17,4,3,3,27,6,13,38,19,14,21,17,1.6537924075077395,2.1616610027129823,0,12,314.27
13,56,22,33,9,20,9,12,0.03490427635322599,0.30535763160556323,15,17,4,14,15,22,11,15,4,4,4,4,19,14,10,13,20,6,3,31,3,8,0,12,13,22,26,19,12,30,2,16,14,12,11,14,3,0,13,3,3,2,29,7,11,32,30,14,22,21,1.659152442685254,1.8183451557798622,0,26,331.99
33,48,27,51,11,32,12,24,0.026720359829474332,0.14709084947182458,17,19,9,12,19,25,8,13,3,2,2,3,13,21,7,20,10,6,2,32,3,10,2,14,27,18,16,26,18,27,2,19,16,6,6,9,5,3,19,2,4,0,20,6,13,30,15,12,24,27,2.2818262398025766,2.3991750544587114,1,10,444.02
33,50,27,51,11,31,12,24,0.02526740113451897,0.20293483450175145,16,19,10,12,23,25,9,13,3,2,2,4,13,21,7,20,10,6,2,32,3,10,2,13,27,18,16,27,18,27,2,19,16,6,6,9,5,3,19,2,4,0,20,5,13,30,15,12,24,30,2.2566471077767183,2.3449186898437264,1,10,461.48
32,48,26,51,11,28,13,24,0.025969483769838257,0.20088498139817468,17,18,10,12,23,27,8,13,3,2,2,4,12,21,6,20,10,8,2,32,3,12,2,14,28,18,16,27,18,23,2,19,16,6,8,12,5,3,19,2,5,0,20,5,13,31,15,12,26,29,2.310670745256869,2.593373834661226,2,10,476.37
32,49,25,58,14,28,14,27,0.02388473263518084,0.20069229710805955,16,16,10,17,23,28,8,15,3,1,3,4,11,20,6,19,12,8,2,50,3,12,1,14,28,21,12,28,20,23,2,17,15,6,8,11,5,4,16,2,5,0,16,5,12,33,15,13,26,29,2.3052741665169254,2.658995730744156,2,11,468.06
