datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 00:00:00,long,buy,93530.0,0.0,999.95,-0.01,-0.01
2025-01-03 16:23:00,long,sell - take_profit,0.0,98206.5,1049.9,5.0,4.99
2025-01-03 18:00:00,long,buy,97983.6,0.0,1049.84,-0.01,4.99
2025-01-04 08:00:00,long,sell - direction change,0.0,98235.0,1052.48,0.25,5.24
2025-01-04 08:00:00,short,sell,0.0,98235.0,1052.43,-0.01,5.23
2025-01-04 10:00:00,short,buy - direction change,97661.3,0.0,1058.52,0.58,5.81
2025-01-04 10:00:00,long,buy,97661.3,0.0,1058.47,-0.01,5.81
2025-01-05 16:00:00,long,sell - direction change,0.0,97990.1,1061.98,0.33,6.14
2025-01-05 16:00:00,short,sell,0.0,97990.1,1061.93,-0.01,6.13
2025-01-05 18:00:00,short,buy - direction change,97700.0,0.0,1065.02,0.29,6.42
2025-01-05 18:00:00,long,buy,97700.0,0.0,1064.97,-0.01,6.42
2025-01-06 08:00:00,long,sell - direction change,0.0,99275.0,1082.08,1.61,8.03
2025-01-06 08:00:00,short,sell,0.0,99275.0,1082.03,-0.01,8.02
2025-01-06 10:00:00,short,buy - direction change,98979.1,0.0,1085.2,0.29,8.31
2025-01-06 10:00:00,long,buy,98979.1,0.0,1085.14,-0.01,8.31
2025-01-06 20:00:00,long,sell - direction change,0.0,101761.6,1115.59,2.81,11.11
2025-01-06 20:00:00,short,sell,0.0,101761.6,1115.54,-0.01,11.11
2025-01-06 22:00:00,short,buy - direction change,101545.7,0.0,1117.85,0.21,11.32
2025-01-06 22:00:00,long,buy,101545.7,0.0,1117.79,-0.01,11.31
2025-01-07 00:00:00,long,sell - direction change,0.0,102185.9,1124.78,0.63,11.94
2025-01-07 00:00:00,short,sell,0.0,102185.9,1124.73,-0.01,11.93
2025-01-07 04:00:00,short,buy - direction change,101650.9,0.0,1130.56,0.52,12.45
2025-01-07 04:00:00,long,buy,101650.9,0.0,1130.5,-0.01,12.45
2025-01-07 10:00:00,long,sell - direction change,0.0,101667.1,1130.63,0.01,12.46
2025-01-07 10:00:00,short,sell,0.0,101667.1,1130.57,-0.01,12.45
2025-01-07 12:00:00,short,buy - direction change,100796.4,0.0,1140.19,0.85,13.3
2025-01-07 12:00:00,long,buy,100796.4,0.0,1140.14,-0.01,13.3
2025-01-07 15:39:00,long,sell - stop_loss,0.0,97772.50799999999,1105.88,-3.01,10.29
2025-01-07 16:00:00,long,buy,97905.1,0.0,1105.82,-0.01,10.29
2025-01-08 11:34:00,long,sell - stop_loss,0.0,94967.947,1072.59,-3.01,7.28
2025-01-08 12:00:00,long,buy,95101.8,0.0,1072.54,-0.01,7.28
2025-01-09 06:00:00,long,sell - direction change,0.0,94438.7,1065.01,-0.7,6.58
2025-01-09 06:00:00,short,sell,0.0,94438.7,1064.96,-0.01,6.57
2025-01-09 08:00:00,short,buy - direction change,93175.6,0.0,1079.15,1.33,7.9
2025-01-09 08:00:00,long,buy,93175.6,0.0,1079.09,-0.01,7.9
2025-01-09 12:00:00,long,sell - direction change,0.0,93410.1,1081.75,0.25,8.15
2025-01-09 12:00:00,short,sell,0.0,93410.1,1081.7,-0.01,8.14
2025-01-09 14:00:00,short,buy - direction change,91933.7,0.0,1098.74,1.58,9.72
2025-01-09 14:00:00,long,buy,91933.7,0.0,1098.69,-0.01,9.71
2025-01-09 16:00:00,long,sell - direction change,0.0,94210.8,1125.84,2.47,12.18
2025-01-09 16:00:00,short,sell,0.0,94210.8,1125.79,-0.01,12.18
2025-01-09 20:00:00,short,buy - direction change,91859.5,0.0,1153.83,2.49,14.67
2025-01-09 20:00:00,long,buy,91859.5,0.0,1153.77,-0.01,14.66
2025-01-10 20:00:00,long,sell - direction change,0.0,95275.4,1196.61,3.71,18.38
2025-01-10 20:00:00,short,sell,0.0,95275.4,1196.55,-0.01,18.37
2025-01-10 22:00:00,short,buy - direction change,94571.3,0.0,1205.34,0.73,19.11
2025-01-10 22:00:00,long,buy,94571.3,0.0,1205.28,-0.01,19.1
2025-01-12 18:00:00,long,sell - direction change,0.0,95096.8,1211.91,0.55,19.65
2025-01-12 18:00:00,short,sell,0.0,95096.8,1211.85,-0.01,19.65
2025-01-12 20:00:00,short,buy - direction change,94632.4,0.0,1217.71,0.48,20.13
2025-01-12 20:00:00,long,buy,94632.4,0.0,1217.65,-0.01,20.12
2025-01-13 00:00:00,long,sell - direction change,0.0,94510.0,1216.01,-0.13,19.99
2025-01-13 00:00:00,short,sell,0.0,94510.0,1215.95,-0.01,19.99
2025-01-13 02:00:00,short,buy - direction change,94177.9,0.0,1220.16,0.35,20.33
2025-01-13 02:00:00,long,buy,94177.9,0.0,1220.1,-0.01,20.33
2025-01-13 10:53:00,long,sell - stop_loss,0.0,91352.563,1183.44,-3.0,17.32
2025-01-13 12:00:00,long,buy,90811.9,0.0,1183.38,-0.01,17.32
2025-01-14 05:07:00,long,sell - take_profit,0.0,95352.495,1242.49,5.0,22.31
2025-01-14 06:00:00,long,buy,94911.3,0.0,1242.43,-0.01,22.31
2025-01-15 04:00:00,long,sell - direction change,0.0,97281.3,1273.39,2.49,24.8
2025-01-15 04:00:00,short,sell,0.0,97281.3,1273.32,-0.01,24.79
2025-01-15 06:00:00,short,buy - direction change,96989.9,0.0,1277.07,0.29,25.09
2025-01-15 06:00:00,long,buy,96989.9,0.0,1277.01,-0.01,25.08
2025-01-15 08:00:00,long,sell - direction change,0.0,97255.8,1280.45,0.27,25.35
2025-01-15 08:00:00,short,sell,0.0,97255.8,1280.38,-0.01,25.35
2025-01-15 10:00:00,short,buy - direction change,96782.4,0.0,1286.55,0.48,25.83
2025-01-15 10:00:00,long,buy,96782.4,0.0,1286.48,-0.01,25.82
2025-01-15 16:00:00,long,sell - direction change,0.0,98955.1,1315.3,2.24,28.06
2025-01-15 16:00:00,short,sell,0.0,98955.1,1315.23,-0.01,28.06
2025-01-15 18:00:00,short,buy - direction change,98600.0,0.0,1319.89,0.35,28.41
2025-01-15 18:00:00,long,buy,98600.0,0.0,1319.82,-0.01,28.41
2025-01-16 00:00:00,long,sell - direction change,0.0,100465.0,1344.72,1.89,30.29
2025-01-16 00:00:00,short,sell,0.0,100465.0,1344.65,-0.01,30.29
2025-01-16 04:00:00,short,buy - direction change,99437.5,0.0,1358.34,1.02,31.31
2025-01-16 04:00:00,long,buy,99437.5,0.0,1358.27,-0.01,31.3
2025-01-16 08:00:00,long,sell - direction change,0.0,99783.6,1362.93,0.34,31.65
2025-01-16 08:00:00,short,sell,0.0,99783.6,1362.86,-0.01,31.64
2025-01-16 10:00:00,short,buy - direction change,99125.2,0.0,1371.78,0.65,32.3
2025-01-16 10:00:00,long,buy,99125.2,0.0,1371.71,-0.01,32.29
2025-01-17 02:00:00,long,sell - direction change,0.0,101644.6,1406.51,2.54,34.83
2025-01-17 02:00:00,short,sell,0.0,101644.6,1406.44,-0.01,34.82
2025-01-17 08:00:00,short,buy - direction change,101410.4,0.0,1409.61,0.23,35.05
2025-01-17 08:00:00,long,buy,101410.4,0.0,1409.54,-0.01,35.04
2025-01-17 20:00:00,long,sell - direction change,0.0,105788.5,1470.32,4.31,39.35
2025-01-17 20:00:00,short,sell,0.0,105788.5,1470.24,-0.01,39.35
2025-01-18 00:00:00,short,buy - direction change,104048.8,0.0,1494.35,1.64,40.99
2025-01-18 00:00:00,long,buy,104048.8,0.0,1494.27,-0.01,40.98
2025-01-18 02:00:00,long,sell - direction change,0.0,104223.1,1496.7,0.16,41.15
2025-01-18 02:00:00,short,sell,0.0,104223.1,1496.63,-0.01,41.14
2025-01-18 08:00:00,short,buy - direction change,102773.7,0.0,1517.36,1.39,42.53
2025-01-18 08:00:00,long,buy,102773.7,0.0,1517.29,-0.01,42.52
2025-01-18 10:00:00,long,sell - direction change,0.0,103127.8,1522.44,0.34,42.86
2025-01-18 10:00:00,short,sell,0.0,103127.8,1522.36,-0.01,42.86
2025-01-18 18:00:00,short,buy - direction change,103769.2,0.0,1512.82,-0.63,42.23
2025-01-18 18:00:00,long,buy,103769.2,0.0,1512.74,-0.01,42.22
2025-01-18 20:00:00,long,sell - direction change,0.0,104366.0,1521.37,0.57,42.8
2025-01-18 20:00:00,short,sell,0.0,104366.0,1521.29,-0.01,42.79
2025-01-19 12:00:00,short,buy - direction change,104344.9,0.0,1521.52,0.02,42.81
2025-01-19 12:00:00,long,buy,104344.9,0.0,1521.45,-0.01,42.8
2025-01-19 14:00:00,long,sell - direction change,0.0,104953.8,1530.25,0.58,43.38
2025-01-19 14:00:00,short,sell,0.0,104953.8,1530.17,-0.01,43.37
2025-01-19 16:00:00,short,buy - direction change,104904.0,0.0,1530.82,0.04,43.42
2025-01-19 16:00:00,long,buy,104904.0,0.0,1530.74,-0.01,43.41
2025-01-19 20:00:00,long,sell - direction change,0.0,106231.4,1550.04,1.26,44.67
2025-01-19 20:00:00,short,sell,0.0,106231.4,1549.96,-0.01,44.67
2025-01-19 23:19:00,short,buy - take_profit,100919.82999999999,0.0,1627.38,5.0,49.66
2025-01-20 00:00:00,long,buy,101310.7,0.0,1627.29,-0.01,49.66
2025-01-20 04:00:00,long,sell - direction change,0.0,101880.0,1636.36,0.56,50.21
2025-01-20 04:00:00,short,sell,0.0,101880.0,1636.27,-0.01,50.21
2025-01-20 06:00:00,short,buy - direction change,102333.3,0.0,1628.91,-0.45,49.76
2025-01-20 06:00:00,long,buy,102333.3,0.0,1628.83,-0.01,49.75
2025-01-20 06:52:00,long,sell - take_profit,0.0,107449.96500000001,1710.19,5.0,54.75
2025-01-20 08:00:00,short,sell,0.0,107172.9,1710.1,-0.01,54.74
2025-01-20 12:00:00,short,buy - direction change,108271.9,0.0,1692.48,-1.03,53.71
2025-01-20 12:00:00,long,buy,108271.9,0.0,1692.4,-0.01,53.71
2025-01-20 14:00:00,long,sell - direction change,0.0,108005.9,1688.15,-0.25,53.46
2025-01-20 14:00:00,short,sell,0.0,108005.9,1688.07,-0.01,53.45
2025-01-20 16:00:00,short,buy - direction change,105000.0,0.0,1734.96,2.78,56.23
2025-01-20 16:00:00,long,buy,105000.0,0.0,1734.88,-0.01,56.23
2025-01-20 17:06:00,long,sell - stop_loss,0.0,101850.0,1682.75,-3.0,53.22
2025-01-20 18:00:00,long,buy,102978.4,0.0,1682.66,-0.01,53.22
2025-01-20 20:00:00,long,sell - direction change,0.0,103693.3,1694.26,0.69,53.9
2025-01-20 20:00:00,short,sell,0.0,103693.3,1694.17,-0.01,53.9
2025-01-21 00:00:00,short,buy - direction change,102258.7,0.0,1717.53,1.38,55.28
2025-01-21 00:00:00,long,buy,102258.7,0.0,1717.44,-0.01,55.27
2025-01-21 02:00:00,long,sell - direction change,0.0,101485.3,1704.37,-0.76,54.51
2025-01-21 02:00:00,short,sell,0.0,101485.3,1704.28,-0.01,54.51
2025-01-21 08:00:00,short,buy - direction change,101962.7,0.0,1696.18,-0.48,54.03
2025-01-21 08:00:00,long,buy,101962.7,0.0,1696.09,-0.01,54.03
2025-01-21 14:00:00,long,sell - direction change,0.0,104455.7,1737.48,2.44,56.47
2025-01-21 14:00:00,short,sell,0.0,104455.7,1737.39,-0.01,56.46
2025-01-21 16:00:00,short,buy - direction change,103931.7,0.0,1746.02,0.5,56.96
2025-01-21 16:00:00,long,buy,103931.7,0.0,1745.93,-0.01,56.95
2025-01-21 20:00:00,long,sell - direction change,0.0,107008.2,1797.52,2.96,59.91
2025-01-21 20:00:00,short,sell,0.0,107008.2,1797.43,-0.01,59.9
2025-01-22 08:00:00,short,buy - direction change,105063.5,0.0,1830.01,1.81,61.72
2025-01-22 08:00:00,long,buy,105063.5,0.0,1829.92,-0.01,61.71
2025-01-22 10:00:00,long,sell - direction change,0.0,104987.7,1828.5,-0.08,61.63
2025-01-22 10:00:00,short,sell,0.0,104987.7,1828.41,-0.01,61.63
2025-01-22 14:00:00,short,buy - direction change,104065.7,0.0,1844.38,0.87,62.5
2025-01-22 14:00:00,long,buy,104065.7,0.0,1844.29,-0.01,62.5
2025-01-22 20:00:00,long,sell - direction change,0.0,104613.8,1853.91,0.52,63.02
2025-01-22 20:00:00,short,sell,0.0,104613.8,1853.81,-0.01,63.01
2025-01-23 02:00:00,short,buy - direction change,102910.7,0.0,1883.9,1.62,64.64
2025-01-23 02:00:00,long,buy,102910.7,0.0,1883.81,-0.01,64.63
2025-01-23 06:00:00,long,sell - direction change,0.0,102490.6,1876.02,-0.41,64.22
2025-01-23 06:00:00,short,sell,0.0,102490.6,1875.93,-0.01,64.21
2025-01-23 10:00:00,short,buy - direction change,101627.7,0.0,1891.63,0.84,65.05
2025-01-23 10:00:00,long,buy,101627.7,0.0,1891.53,-0.01,65.05
2025-01-23 16:15:00,long,sell - take_profit,0.0,106709.085,1986.01,5.0,70.04
2025-01-23 18:00:00,short,sell,0.0,105911.3,1985.91,-0.01,70.04
2025-01-23 20:00:00,short,buy - direction change,103736.6,0.0,2026.59,2.05,72.08
2025-01-23 20:00:00,long,buy,103736.6,0.0,2026.49,-0.01,72.08
2025-01-23 22:00:00,long,sell - direction change,0.0,103006.9,2012.13,-0.71,71.37
2025-01-23 22:00:00,short,sell,0.0,103006.9,2012.03,-0.01,71.37
2025-01-24 10:00:00,short,buy - direction change,105112.4,0.0,1970.8,-2.05,69.32
2025-01-24 10:00:00,long,buy,105112.4,0.0,1970.71,-0.01,69.31
2025-01-24 12:00:00,long,sell - direction change,0.0,105384.1,1975.7,0.25,69.56
2025-01-24 12:00:00,short,sell,0.0,105384.1,1975.6,-0.01,69.56
2025-01-24 14:00:00,short,buy - direction change,105077.8,0.0,1981.25,0.29,69.85
2025-01-24 14:00:00,long,buy,105077.8,0.0,1981.15,-0.01,69.84
2025-01-24 18:00:00,long,sell - direction change,0.0,106432.4,2006.59,1.28,71.12
2025-01-24 18:00:00,short,sell,0.0,106432.4,2006.49,-0.01,71.12
2025-01-25 00:00:00,short,buy - direction change,104800.1,0.0,2037.16,1.53,72.65
2025-01-25 00:00:00,long,buy,104800.1,0.0,2037.05,-0.01,72.64
2025-01-25 02:00:00,long,sell - direction change,0.0,104677.3,2034.57,-0.12,72.52
2025-01-25 02:00:00,short,sell,0.0,104677.3,2034.46,-0.01,72.52
2025-01-25 06:00:00,short,buy - direction change,104326.4,0.0,2041.18,0.33,72.85
2025-01-25 06:00:00,long,buy,104326.4,0.0,2041.08,-0.01,72.84
2025-01-25 08:00:00,long,sell - direction change,0.0,104349.9,2041.44,0.02,72.86
2025-01-25 08:00:00,short,sell,0.0,104349.9,2041.33,-0.01,72.85
2025-01-25 10:00:00,short,buy - direction change,104308.7,0.0,2042.04,0.03,72.89
2025-01-25 10:00:00,long,buy,104308.7,0.0,2041.94,-0.01,72.88
2025-01-25 14:00:00,long,sell - direction change,0.0,104662.4,2048.76,0.33,73.22
2025-01-25 14:00:00,short,sell,0.0,104662.4,2048.66,-0.01,73.21
2025-01-26 10:00:00,short,buy - direction change,104597.6,0.0,2049.82,0.06,73.27
2025-01-26 10:00:00,long,buy,104597.6,0.0,2049.72,-0.01,73.26
2025-01-26 14:00:00,long,sell - direction change,0.0,104924.5,2056.02,0.31,73.57
2025-01-26 14:00:00,short,sell,0.0,104924.5,2055.92,-0.01,73.57
2025-01-26 16:00:00,short,buy - direction change,104934.4,0.0,2055.62,-0.01,73.55
2025-01-26 16:00:00,long,buy,104934.4,0.0,2055.52,-0.01,73.55
2025-01-26 18:00:00,long,sell - direction change,0.0,104911.0,2054.96,-0.03,73.52
2025-01-26 18:00:00,short,sell,0.0,104911.0,2054.86,-0.01,73.51
2025-01-27 02:00:00,short,buy - direction change,101235.3,0.0,2126.74,3.5,77.01
2025-01-27 02:00:00,long,buy,101235.3,0.0,2126.64,-0.01,77.01
2025-01-27 04:00:00,long,sell - direction change,0.0,101345.0,2128.84,0.1,77.11
2025-01-27 04:00:00,short,sell,0.0,101345.0,2128.73,-0.01,77.11
2025-01-27 08:00:00,short,buy - direction change,98986.3,0.0,2178.16,2.32,79.43
2025-01-27 08:00:00,long,buy,98986.3,0.0,2178.06,-0.01,79.42
2025-01-27 16:00:00,long,sell - direction change,0.0,101055.2,2223.47,2.09,81.51
2025-01-27 16:00:00,short,sell,0.0,101055.2,2223.36,-0.01,81.5
2025-01-27 18:00:00,short,buy - direction change,99100.8,0.0,2266.24,1.93,83.43
2025-01-27 18:00:00,long,buy,99100.8,0.0,2266.13,-0.01,83.43
2025-01-27 20:00:00,long,sell - direction change,0.0,99649.9,2278.57,0.55,83.98
2025-01-27 20:00:00,short,sell,0.0,99649.9,2278.46,-0.01,83.97
2025-01-27 22:00:00,short,buy - direction change,101298.0,0.0,2240.66,-1.66,82.31
2025-01-27 22:00:00,long,buy,101298.0,0.0,2240.55,-0.01,82.31
2025-01-28 00:00:00,long,sell - direction change,0.0,102024.2,2256.5,0.71,83.02
2025-01-28 00:00:00,short,sell,0.0,102024.2,2256.39,-0.01,83.02
2025-01-28 04:00:00,short,buy - direction change,102594.9,0.0,2243.65,-0.56,82.45
2025-01-28 04:00:00,long,buy,102594.9,0.0,2243.54,-0.01,82.45
