datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 00:00:00,short,sell,0.0,93530.0,999.95,-0.01,-0.01
2025-01-01 08:00:00,short,buy - direction change,93642.7,0.0,998.7,-0.13,-0.13
2025-01-01 08:00:00,long,buy,93642.7,0.0,998.65,-0.01,-0.14
2025-01-01 14:00:00,long,sell - direction change,0.0,93985.9,1002.26,0.36,0.23
2025-01-01 14:00:00,short,sell,0.0,93985.9,1002.21,-0.01,0.22
2025-01-01 16:00:00,short,buy - direction change,94411.6,0.0,997.62,-0.46,-0.24
2025-01-01 16:00:00,long,buy,94411.6,0.0,997.57,-0.01,-0.24
2025-01-01 20:00:00,long,sell - direction change,0.0,94583.4,999.33,0.18,-0.06
2025-01-01 20:00:00,short,sell,0.0,94583.4,999.28,-0.01,-0.07
2025-01-01 22:00:00,short,buy - direction change,94946.9,0.0,995.39,-0.39,-0.46
2025-01-01 22:00:00,long,buy,94946.9,0.0,995.34,-0.01,-0.46
2025-01-02 00:00:00,long,sell - direction change,0.0,94564.6,991.28,-0.41,-0.87
2025-01-02 00:00:00,short,sell,0.0,94564.6,991.23,-0.01,-0.88
2025-01-02 02:00:00,short,buy - direction change,94844.5,0.0,988.25,-0.3,-1.18
2025-01-02 02:00:00,long,buy,94844.5,0.0,988.2,-0.01,-1.18
2025-01-02 06:00:00,long,sell - direction change,0.0,95556.6,995.57,0.75,-0.44
2025-01-02 06:00:00,short,sell,0.0,95556.6,995.52,-0.01,-0.44
2025-01-02 08:00:00,short,buy - direction change,95799.9,0.0,992.94,-0.26,-0.7
2025-01-02 08:00:00,long,buy,95799.9,0.0,992.89,-0.01,-0.71
2025-01-03 04:00:00,long,sell - direction change,0.0,97024.2,1005.53,1.27,0.57
2025-01-03 04:00:00,short,sell,0.0,97024.2,1005.48,-0.01,0.56
2025-01-03 06:00:00,short,buy - direction change,96729.4,0.0,1008.48,0.3,0.86
2025-01-03 06:00:00,long,buy,96729.4,0.0,1008.43,-0.01,0.86
2025-01-03 18:00:00,long,sell - direction change,0.0,97983.6,1021.45,1.29,2.15
2025-01-03 18:00:00,short,sell,0.0,97983.6,1021.4,-0.01,2.14
2025-01-04 14:00:00,short,buy - direction change,97929.9,0.0,1021.91,0.05,2.19
2025-01-04 14:00:00,long,buy,97929.9,0.0,1021.86,-0.01,2.19
2025-01-04 16:00:00,long,sell - direction change,0.0,97617.4,1018.55,-0.32,1.86
2025-01-04 16:00:00,short,sell,0.0,97617.4,1018.5,-0.01,1.86
2025-01-05 08:00:00,short,buy - direction change,98227.4,0.0,1012.08,-0.63,1.23
2025-01-05 08:00:00,long,buy,98227.4,0.0,1012.03,-0.01,1.22
2025-01-05 12:00:00,long,sell - direction change,0.0,97607.6,1005.6,-0.64,0.59
2025-01-05 12:00:00,short,sell,0.0,97607.6,1005.55,-0.01,0.58
2025-01-05 14:00:00,short,buy - direction change,97662.9,0.0,1004.93,-0.06,0.52
2025-01-05 14:00:00,long,buy,97662.9,0.0,1004.88,-0.01,0.51
2025-01-05 16:00:00,long,sell - direction change,0.0,97990.1,1008.19,0.33,0.84
2025-01-05 16:00:00,short,sell,0.0,97990.1,1008.14,-0.01,0.84
2025-01-06 04:00:00,short,buy - direction change,99001.7,0.0,997.68,-1.04,-0.2
2025-01-06 04:00:00,long,buy,99001.7,0.0,997.63,-0.01,-0.2
2025-01-06 08:00:00,long,sell - direction change,0.0,99275.0,1000.34,0.27,0.07
2025-01-06 08:00:00,short,sell,0.0,99275.0,1000.29,-0.01,0.06
2025-01-06 10:00:00,short,buy - direction change,98979.1,0.0,1003.22,0.29,0.36
2025-01-06 10:00:00,long,buy,98979.1,0.0,1003.17,-0.01,0.35
2025-01-06 22:00:00,long,sell - direction change,0.0,101545.7,1029.13,2.59,2.94
2025-01-06 22:00:00,short,sell,0.0,101545.7,1029.08,-0.01,2.93
2025-01-07 00:00:00,short,buy - direction change,102185.9,0.0,1022.54,-0.64,2.3
2025-01-07 00:00:00,long,buy,102185.9,0.0,1022.49,-0.01,2.29
2025-01-07 02:00:00,long,sell - direction change,0.0,101869.3,1019.27,-0.31,1.98
2025-01-07 02:00:00,short,sell,0.0,101869.3,1019.22,-0.01,1.97
2025-01-07 12:00:00,short,buy - direction change,100796.4,0.0,1029.9,1.05,3.02
2025-01-07 12:00:00,long,buy,100796.4,0.0,1029.85,-0.01,3.02
2025-01-07 14:00:00,long,sell - direction change,0.0,100606.0,1027.85,-0.19,2.82
2025-01-07 14:00:00,short,sell,0.0,100606.0,1027.8,-0.01,2.82
2025-01-07 16:00:00,short,buy - direction change,97905.1,0.0,1055.34,2.68,5.5
2025-01-07 16:00:00,long,buy,97905.1,0.0,1055.29,-0.01,5.49
2025-01-08 11:34:00,long,sell - stop_loss,0.0,94967.947,1023.58,-3.01,2.49
2025-01-08 12:00:00,short,sell,0.0,95101.8,1023.53,-0.01,2.48
2025-01-08 14:00:00,short,buy - direction change,95348.0,0.0,1020.83,-0.26,2.22
2025-01-08 14:00:00,long,buy,95348.0,0.0,1020.78,-0.01,2.21
2025-01-08 17:31:00,long,sell - stop_loss,0.0,92487.56,990.1,-3.01,-0.79
2025-01-08 18:00:00,long,buy,93957.6,0.0,990.06,-0.01,-0.8
2025-01-08 20:00:00,long,sell - direction change,0.0,94211.6,992.68,0.27,-0.53
2025-01-08 20:00:00,short,sell,0.0,94211.6,992.63,-0.01,-0.54
2025-01-09 00:00:00,short,buy - direction change,95022.2,0.0,984.04,-0.87,-1.4
2025-01-09 00:00:00,long,buy,95022.2,0.0,983.99,-0.01,-1.41
2025-01-09 04:00:00,long,sell - direction change,0.0,93966.1,973.01,-1.12,-2.52
2025-01-09 04:00:00,short,sell,0.0,93966.1,972.96,-0.01,-2.53
2025-01-09 08:00:00,short,buy - direction change,93175.6,0.0,981.1,0.84,-1.69
2025-01-09 08:00:00,long,buy,93175.6,0.0,981.05,-0.01,-1.7
2025-01-09 10:00:00,long,sell - direction change,0.0,93464.6,984.04,0.31,-1.39
2025-01-09 10:00:00,short,sell,0.0,93464.6,983.99,-0.01,-1.4
2025-01-09 12:00:00,short,buy - direction change,93410.1,0.0,984.52,0.05,-1.34
2025-01-09 12:00:00,long,buy,93410.1,0.0,984.47,-0.01,-1.35
2025-01-09 14:00:00,long,sell - direction change,0.0,91933.7,968.86,-1.59,-2.93
2025-01-09 14:00:00,short,sell,0.0,91933.7,968.81,-0.01,-2.94
2025-01-09 16:00:00,short,buy - direction change,94210.8,0.0,944.77,-2.48,-5.42
2025-01-09 16:00:00,long,buy,94210.8,0.0,944.72,-0.01,-5.42
2025-01-09 20:21:00,long,sell - stop_loss,0.0,91384.476,916.33,-3.01,-8.43
2025-01-09 22:00:00,short,sell,0.0,92062.3,916.29,-0.01,-8.43
2025-01-10 00:00:00,short,buy - direction change,92507.7,0.0,911.81,-0.49,-8.92
2025-01-10 00:00:00,long,buy,92507.7,0.0,911.76,-0.01,-8.93
2025-01-10 04:00:00,long,sell - direction change,0.0,93655.9,923.03,1.24,-7.69
2025-01-10 04:00:00,short,sell,0.0,93655.9,922.99,-0.01,-7.7
2025-01-10 10:00:00,short,buy - direction change,94738.5,0.0,912.27,-1.16,-8.86
2025-01-10 10:00:00,long,buy,94738.5,0.0,912.23,-0.01,-8.86
2025-01-10 16:00:00,long,sell - direction change,0.0,93695.9,902.14,-1.11,-9.97
2025-01-10 16:00:00,short,sell,0.0,93695.9,902.1,-0.01,-9.97
2025-01-10 18:00:00,short,buy - direction change,95767.1,0.0,882.11,-2.22,-12.19
2025-01-10 18:00:00,long,buy,95767.1,0.0,882.07,-0.01,-12.19
2025-01-10 22:00:00,long,sell - direction change,0.0,94571.3,871.01,-1.25,-13.45
2025-01-10 22:00:00,short,sell,0.0,94571.3,870.97,-0.01,-13.45
2025-01-11 16:00:00,short,buy - direction change,94371.5,0.0,872.76,0.21,-13.25
2025-01-11 16:00:00,long,buy,94371.5,0.0,872.72,-0.01,-13.25
2025-01-11 18:00:00,long,sell - direction change,0.0,94125.7,870.4,-0.27,-13.52
2025-01-11 18:00:00,short,sell,0.0,94125.7,870.36,-0.01,-13.52
2025-01-12 08:00:00,short,buy - direction change,94295.1,0.0,868.75,-0.18,-13.71
2025-01-12 08:00:00,long,buy,94295.1,0.0,868.7,-0.01,-13.71
2025-01-12 12:00:00,long,sell - direction change,0.0,94211.2,867.89,-0.09,-13.81
2025-01-12 12:00:00,short,sell,0.0,94211.2,867.85,-0.01,-13.81
2025-01-12 16:00:00,short,buy - direction change,95043.8,0.0,860.13,-0.89,-14.7
2025-01-12 16:00:00,long,buy,95043.8,0.0,860.09,-0.01,-14.7
2025-01-12 20:00:00,long,sell - direction change,0.0,94632.4,856.32,-0.44,-15.14
2025-01-12 20:00:00,short,sell,0.0,94632.4,856.28,-0.01,-15.15
2025-01-13 00:00:00,short,buy - direction change,94510.0,0.0,857.35,0.12,-15.02
2025-01-13 00:00:00,long,buy,94510.0,0.0,857.3,-0.01,-15.03
2025-01-13 02:00:00,long,sell - direction change,0.0,94177.9,854.25,-0.36,-15.38
2025-01-13 02:00:00,short,sell,0.0,94177.9,854.2,-0.01,-15.39
2025-01-13 08:00:00,short,buy - direction change,93557.9,0.0,859.79,0.65,-14.74
2025-01-13 08:00:00,long,buy,93557.9,0.0,859.74,-0.01,-14.74
2025-01-13 10:00:00,long,sell - direction change,0.0,92805.0,852.78,-0.81,-15.55
2025-01-13 10:00:00,short,sell,0.0,92805.0,852.74,-0.01,-15.56
2025-01-13 12:00:00,short,buy - direction change,90811.9,0.0,871.01,2.14,-13.41
2025-01-13 12:00:00,long,buy,90811.9,0.0,870.96,-0.01,-13.42
2025-01-13 22:00:00,long,sell - direction change,0.0,94172.8,903.15,3.7,-9.72
2025-01-13 22:00:00,short,sell,0.0,94172.8,903.11,-0.01,-9.73
2025-01-14 02:00:00,short,buy - direction change,94814.4,0.0,896.91,-0.69,-10.41
2025-01-14 02:00:00,long,buy,94814.4,0.0,896.87,-0.01,-10.42
2025-01-14 22:00:00,long,sell - direction change,0.0,96439.1,912.19,1.71,-8.71
2025-01-14 22:00:00,short,sell,0.0,96439.1,912.14,-0.01,-8.72
2025-01-15 00:00:00,short,buy - direction change,96523.3,0.0,911.3,-0.09,-8.81
2025-01-15 00:00:00,long,buy,96523.3,0.0,911.26,-0.01,-8.81
2025-01-15 18:00:00,long,sell - direction change,0.0,98600.0,930.81,2.15,-6.67
