datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 00:00:00,short,sell,0.0,93530.0,999.95,-0.01,-0.01
2025-01-01 10:00:00,short,buy - direction change,93368.4,0.0,1001.63,0.17,0.16
2025-01-01 10:00:00,long,buy,93368.4,0.0,1001.58,-0.01,0.16
2025-01-01 14:00:00,long,sell - direction change,0.0,93985.9,1008.15,0.66,0.81
2025-01-01 14:00:00,short,sell,0.0,93985.9,1008.1,-0.01,0.81
2025-01-01 16:00:00,short,buy - direction change,94411.6,0.0,1003.48,-0.46,0.35
2025-01-01 16:00:00,long,buy,94411.6,0.0,1003.43,-0.01,0.35
2025-01-01 18:00:00,long,sell - direction change,0.0,94106.0,1000.14,-0.33,0.02
2025-01-01 18:00:00,short,sell,0.0,94106.0,1000.09,-0.01,0.01
2025-01-01 22:00:00,short,buy - direction change,94946.9,0.0,991.1,-0.9,-0.89
2025-01-01 22:00:00,long,buy,94946.9,0.0,991.05,-0.01,-0.89
2025-01-02 00:00:00,long,sell - direction change,0.0,94564.6,987.01,-0.41,-1.3
2025-01-02 00:00:00,short,sell,0.0,94564.6,986.96,-0.01,-1.3
2025-01-02 02:00:00,short,buy - direction change,94844.5,0.0,983.99,-0.3,-1.6
2025-01-02 02:00:00,long,buy,94844.5,0.0,983.94,-0.01,-1.61
2025-01-02 06:00:00,long,sell - direction change,0.0,95556.6,991.28,0.75,-0.86
2025-01-02 06:00:00,short,sell,0.0,95556.6,991.23,-0.01,-0.87
2025-01-02 08:00:00,short,buy - direction change,95799.9,0.0,988.66,-0.26,-1.13
2025-01-02 08:00:00,long,buy,95799.9,0.0,988.61,-0.01,-1.13
2025-01-03 18:00:00,long,sell - direction change,0.0,97983.6,1011.09,2.27,1.14
2025-01-03 18:00:00,short,sell,0.0,97983.6,1011.04,-0.01,1.14
2025-01-03 20:00:00,short,buy - direction change,98555.2,0.0,1005.09,-0.59,0.55
2025-01-03 20:00:00,long,buy,98555.2,0.0,1005.04,-0.01,0.54
2025-01-03 22:00:00,long,sell - direction change,0.0,98208.7,1001.46,-0.36,0.19
2025-01-03 22:00:00,short,sell,0.0,98208.7,1001.41,-0.01,0.18
2025-01-04 08:00:00,short,buy - direction change,98235.0,0.0,1001.09,-0.03,0.15
2025-01-04 08:00:00,long,buy,98235.0,0.0,1001.04,-0.01,0.14
